ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2010-01-01,6.213610999999999,-6.221394152150623,17.12784517847545,6.213610999999999,6.213610999999999,-0.05249480000039153,-0.05249480000039153,-0.05249480000039153,-0.05249480000039153,-0.05249480000039153,-0.05249480000039153,0.0,0.0,0.0,5.887428733274766
2011-01-01,6.371992887205695,-8.59646290321561,17.124134247297228,6.371992887205695,6.371992887205695,-0.26208788686069473,-0.26208788686069473,-0.26208788686069473,-0.26208788686069473,-0.26208788686069473,-0.26208788686069473,0.0,0.0,0.0,4.701970736306578
2013-01-01,6.68919058763976,-4.629820462037184,19.209649068048115,6.68919058763976,6.68919058763976,0.15648630735132524,0.15648630735132524,0.15648630735132524,0.15648630735132524,0.15648630735132524,0.15648630735132524,0.0,0.0,0.0,7.735957321868747
2014-01-01,6.847572469391761,-5.944330962942399,18.673208656580254,6.847572469391761,6.847572469391761,-0.05249480000170642,-0.05249480000170642,-0.05249480000170642,-0.05249480000170642,-0.05249480000170642,-0.05249480000170642,0.0,0.0,0.0,6.488110522113849
2015-01-01,7.005954355824951,-7.025729146622147,17.38385002941325,7.005954355824951,7.005954355824951,-0.26208788685973067,-0.26208788685973067,-0.26208788685973067,-0.26208788685973067,-0.26208788685973067,-0.26208788685973067,0.0,0.0,0.0,5.169778583271063
2016-01-01,7.164336233860522,-8.31679195778586,15.359215333009656,7.164336233860522,7.164336233860522,-0.47203805463770176,-0.47203805463770176,-0.47203805463770176,-0.47203805463770176,-0.47203805463770176,-0.47203805463770176,0.0,0.0,0.0,3.7824968952586024
2017-01-01,7.323152026371171,-3.9234212793297076,20.93425967898555,7.323152026371171,7.323152026371171,0.15648630735256713,0.15648630735256713,0.15648630735256713,0.15648630735256713,0.15648630735256713,0.15648630735256713,0.0,0.0,0.0,8.469125045159466
2018-01-01,7.481533900515807,-4.968972196170672,19.70046595142913,7.481533900515807,7.481533900515807,-0.05249480000024198,-0.05249480000024198,-0.05249480000024198,-0.05249480000024198,-0.05249480000024198,-0.05249480000024198,0.0,0.0,0.0,7.088792274713199
2019-01-01,7.639915777083854,-6.36410797507526,18.877383776625884,7.639915777083854,7.639915777083854,-0.26208788686084816,-0.26208788686084816,-0.26208788686084816,-0.26208788686084816,-0.26208788686084816,-0.26208788686084816,0.0,0.0,0.0,5.637586395273092
2020-01-01,7.798297648243706,-7.244997381512727,16.205826910458846,7.798297648243706,7.798297648243706,-0.4720380546378904,-0.4720380546378904,-0.4720380546378904,-0.4720380546378904,-0.4720380546378904,-0.4720380546378904,0.0,0.0,0.0,4.117204396879512
2021-01-01,7.957113440747949,-3.0507510574292858,23.08403685516409,7.957113440747949,7.957113440747949,0.15648630735218166,0.15648630735218166,0.15648630735218166,0.15648630735218166,0.15648630735218166,0.15648630735218166,0.0,0.0,0.0,9.202292740273007
2022-01-01,8.115495306080103,-3.5990492926820807,19.703841700736923,8.115495306080103,8.115495306080103,-0.05249480000197476,-0.05249480000197476,-0.05249480000197476,-0.05249480000197476,-0.05249480000197476,-0.05249480000197476,0.0,0.0,0.0,7.689474003070464
2023-01-01,8.273877161984299,-5.414874618011707,18.626235237238294,8.273877161984299,8.273877161984299,-0.26208788686174944,-0.26208788686174944,-0.26208788686174944,-0.26208788686174944,-0.26208788686174944,-0.26208788686174944,0.0,0.0,0.0,6.105394180446146
2024-01-01,8.432259017888496,-8.926347944878197,16.743228274581735,8.432259017888496,8.432259017888496,-0.47203805463600257,-0.47203805463600257,-0.47203805463600257,-0.47203805463600257,-0.47203805463600257,-0.47203805463600257,0.0,0.0,0.0,4.451911874897521
2025-01-01,8.59107479668558,-2.614654795935225,21.396069092312448,8.59107479668558,8.59107479668558,0.15648630735301428,0.15648630735301428,0.15648630735301428,0.15648630735301428,0.15648630735301428,0.15648630735301428,0.0,0.0,0.0,9.935460367812455
2025-12-31,8.749022729696888,-11.88121585533531,13.3188963938048,8.749022703883913,8.749022759874743,-0.8919867455906956,-0.8919867455906956,-0.8919867455906956,-0.8919867455906956,-0.8919867455906956,-0.8919867455906956,0.0,0.0,0.0,0.945010417935537
2026-12-31,8.907404585601084,-14.271837183380674,11.211930724439313,8.907404503970179,8.907404673804828,-1.1014732872187074,-1.1014732872187074,-1.1014732872187074,-1.1014732872187074,-1.1014732872187074,-1.1014732872187074,0.0,0.0,0.0,-0.9038636238879302
2027-12-31,9.06578644150528,-14.278070028875316,9.529431383444976,9.0657862845949,9.06578660460952,-1.3102936868339343,-1.3102936868339343,-1.3102936868339343,-1.3102936868339343,-1.3102936868339343,-1.3102936868339343,0.0,0.0,0.0,-2.813056298983767
